Latitude,Longitude
53.34155082,-6.275115162
53.34326188,-6.275891662
53.3480536,-6.275187582
53.35087553,-6.270484328
53.35221318,-6.260164529
53.34471186,-6.267481595
53.34468624,-6.267346144
53.34561337,-6.264945567
53.34549008,-6.264374256
53.34492803,-6.26306802
53.34562138,-6.262601316
53.34577029,-6.260741204
53.34702084,-6.25832051
53.33423022,-6.290792674
53.34617781,-6.259278059
53.34257811,-6.271794587
53.34286315,-6.277763844
53.34495686,-6.272678375
53.34817688,-6.294609457
53.34804559,-6.26865238
53.33552355,-6.250543445
53.33788988,-6.248227358
53.33777617,-6.248077154
53.35003177,-6.274377555
53.34944898,-6.277834922
53.33571254,-6.251549274
53.35308412,-6.285188198
53.34801997,-6.263397932
53.33592955,-6.265190989
53.35858467,-6.269591153
53.34852353,-6.264034957
53.33702184,-6.244546026
53.33091783,-6.258653104
53.34258852,-6.238808781
53.34532995,-6.239453852
53.34498248,-6.238279045
53.3450089,-6.235983074
53.34507375,-6.235950887
53.34482395,-6.238179803
53.34207047,-6.264417171
53.34433076,-6.233445704
53.34497847,-6.236972809
53.35609622,-6.287840903
53.3428119,-6.262051463
53.35301127,-6.26450032
53.34183507,-6.290662587
53.34779341,-6.279795617
53.34315219,-6.270240247
53.33649172,-6.265384108
53.34295923,-6.276079416
53.34612577,-6.293238848
53.33771531,-6.251306534
53.34296563,-6.264303178
53.34496807,-6.267253608
53.3442603,-6.26409933
53.34896464,-6.260648668
53.34181265,-6.252918541
53.33863779,-6.266168654
53.34391522,-6.267496347
53.34132903,-6.258029491
53.35051289,-6.265747547
53.34894062,-6.260790825
53.35126939,-6.250971258
53.35090915,-6.269926429
53.35177931,-6.263267845
53.34102076,-6.263511926
53.33286797,-6.265024692
53.34383996,-6.262032688
53.34680228,-6.263313442
53.33910542,-6.272449046
53.34332353,-6.269899607
53.34690716,-6.29202649
53.34351569,-6.288935244
53.34319623,-6.280841678
53.34538679,-6.265047491
53.34536358,-6.264875829
53.3450073,-6.263965219
53.3450113,-6.263536066
53.34571905,-6.261535138
53.34846509,-6.295009106
53.34809683,-6.262722015
53.34786626,-6.264595538
53.35108127,-6.252361983
53.34462059,-6.238356829
53.3446302,-6.236162782
53.3602014,-6.266330928
53.35003097,-6.267299205
53.34501931,-6.270107478
53.34837783,-6.257431358
53.34610495,-6.271288991
53.34238835,-6.263249069
53.34872687,-6.237128377
53.34829617,-6.296098083
53.3466958,-6.297288984
53.34794472,-6.257094741
53.34105679,-6.262814552
53.35093077,-6.265170872
53.34330432,-6.259318292
53.3359728,-6.247524619
53.34503372,-6.267343462
53.33655017,-6.265596002
53.34913196,-6.26895681
53.35023351,-6.266548187
53.35024071,-6.258189082
53.35103243,-6.249909103
53.33578381,-6.265365332
53.33561404,-6.265102476
53.35282476,-6.261722893
53.34952263,-6.252375394
53.34728023,-6.257043779
53.34717936,-6.257368326
53.34530433,-6.259280741
53.34428192,-6.25984937
53.35223079,-6.254621744
53.33592875,-6.263420731
53.33960508,-6.265754253
53.34363419,-6.261592805
53.35145831,-6.263879389
53.34110643,-6.265408248
53.34514581,-6.265803874
53.34523708,-6.265716702
53.34497847,-6.26422137
53.33775535,-6.251496971
53.35038881,-6.266094893
53.3472354,-6.280289143
53.33728289,-6.250061989
53.33837834,-6.247862577
53.33794353,-6.252391487
53.3381221,-6.253306121
53.33945615,-6.261253506
53.33967315,-6.261083186
53.33909421,-6.25698477
53.33977164,-6.261006743
53.34502571,-6.266705096
53.34338438,-6.249659657
53.34703925,-6.280277073
53.34885416,-6.2667346
53.34570624,-6.260680854
53.34573587,-6.26025036
53.34787667,-6.259184182
53.34688074,-6.26599431
53.3514511,-6.255045533
53.34033214,-6.265783757
53.35105325,-6.264296472
53.3447647,-6.268185675
53.33518961,-6.265089065
53.35171207,-6.260890067
53.34309454,-6.262542307
53.34307372,-6.263363063
53.34312737,-6.263764054
53.34388319,-6.262097061
53.34506734,-6.267238855
53.3483386,-6.278563142
53.34736029,-6.266171336
53.33381458,-6.251912713
53.34931769,-6.277897954
53.34803598,-6.26231432
53.34103037,-6.259095669
53.34124416,-6.256929785
53.34355492,-6.249551028
53.34838503,-6.260042489
53.33927598,-6.257686168
53.34846669,-6.264009476
53.35443291,-6.263313442
53.3487581,-6.255112588
53.33352788,-6.272549629
53.34618021,-6.257003546
53.35383416,-6.258065701
53.34278548,-6.260721087
53.34995172,-6.251509041
53.35554873,-6.264576763
53.34248363,-6.2644279
53.34945698,-6.248142868
53.3472354,-6.278260052
53.34093668,-6.292752028
53.33877552,-6.300144196
53.34525232,-6.26120358
53.3473715,-6.255120635
53.34397447,-6.249292195
53.34672142,-6.258726865
53.35037866,-6.26964894
53.34639767,-6.26580376
53.34152615,-6.27111868
53.34601317,-6.25398474
53.34296246,-6.27604571
53.34419083,-6.26785596
53.33147532,-6.2615502
53.3369826,-6.27290749
53.33689879,-6.27295291
53.34857168,-6.26792456
53.34166909,-6.27478408
53.35002236,-6.2689365
